anon_polygon_id,start,end,duration_days,severity,min_zscore,mean_zscore,cause,cause_confidence,climatology_source,explanation
AOI-0028,2023-05-08,2023-06-24,48,suppression,-1.8,-1.4,non_weather,0.35,polygon,"Осадков 95 мм при норме 50 мм (188 процентов), температура отличается от нормы на -2.2 градуса. Ни один погодный порог не превышен, хотя осадков заметно больше нормы, температура отклонена от нормы на -2.2 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0028,2024-08-22,2024-09-06,16,suppression,-1.36,-1.02,drought,0.85,polygon,"Осадков за 30 дней выпало 3 мм при норме 20 мм, это 16 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 3.7 градуса."
AOI-0028,2024-09-21,2024-10-07,17,suppression,-1.18,-1.02,drought,0.85,polygon,"Осадков за 30 дней выпало 5 мм при норме 32 мм, это 16 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 4.2 градуса."
AOI-0028,2025-04-01,2025-04-15,15,suppression,-1.43,-1.28,non_weather,0.35,polygon,"Осадков 16 мм при норме 27 мм (61 процентов), температура отличается от нормы на -0.6 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0029,2025-07-08,2025-09-10,65,suppression,-1.33,-1.14,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0031,2011-04-23,2011-05-03,11,suppression,-1.69,-1.49,non_weather,0.5,polygon,"Осадков 50 мм при норме 34 мм (149 процентов), температура отличается от нормы на -0.5 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 11 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0031,2012-04-20,2012-06-27,69,suppression,-1.81,-1.45,heat,0.6,polygon,Средняя температура за период выше нормы на 2.7 градуса при достаточном увлажнении. Вероятен температурный стресс.
AOI-0031,2012-08-20,2012-09-02,14,suppression,-1.09,-1.01,cold,0.35,polygon,"Температура за период на 2.9 градуса ниже нормы, но это конец сезона (день года 233). Для созревающего посева холод означает ускоренное естественное отмирание, а не угнетение. Отдельного вмешательства обычно не требует."
AOI-0031,2014-04-18,2014-05-03,16,suppression,-1.39,-1.22,non_weather,0.35,polygon,"Осадков 23 мм при норме 35 мм (65 процентов), температура отличается от нормы на 0.5 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0031,2015-04-08,2015-05-05,28,suppression,-1.76,-1.5,non_weather,0.5,polygon,"Осадков 27 мм при норме 35 мм (77 процентов), температура отличается от нормы на -0.8 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 28 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
